year,date,cardinal_direction_seq,classification_seq,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,public_holiday,school_holiday
2017,2017-09-21,Westbound,All Vehicles,0,187,190,141,149,323,713,1090,1235,1072,1105,1165,1288,1354,1582,1800,1746,1807,1632,1313,1133,1080,968,571,0,0
2017,2017-09-21,Eastbound,All Vehicles,0,133,98,178,327,1029,1952,1867,1800,1633,1398,1270,1165,1162,1258,1316,1429,1570,1396,1032,775,684,514,289,0,0
2017,2017-09-22,Eastbound,All Vehicles,175,105,127,169,338,1063,2009,1849,1795,1634,1322,1265,1236,1216,1355,1435,1378,1551,1404,1188,881,744,712,440,0,0
2017,2017-09-22,Westbound,All Vehicles,479,280,236,160,176,351,736,1046,1190,1149,1156,1268,1414,1387,1638,1801,1873,1786,1644,1342,1061,1053,1001,829,0,0
2017,2017-09-23,Eastbound,All Vehicles,309,208,169,198,198,547,1168,1060,1319,1484,1480,1544,1479,1423,1477,1300,1444,1543,1506,1157,909,788,802,521,0,1
2017,2017-09-23,Westbound,All Vehicles,630,455,356,311,280,265,466,667,936,1241,1355,1555,1555,1652,1614,1537,1468,1493,1365,1046,883,989,1061,937,0,1
2017,2017-09-24,Eastbound,All Vehicles,418,241,203,202,188,320,457,597,879,1317,1345,1468,1524,1376,1170,1221,1304,1194,1192,896,721,660,469,284,0,1
2017,2017-09-24,Westbound,All Vehicles,810,529,489,376,333,224,272,357,573,994,1107,1364,1311,1250,1227,1345,1432,1396,1231,1065,959,926,772,598,0,1
2017,2017-09-25,Eastbound,All Vehicles,150,114,110,158,319,994,1818,1796,1636,1634,1343,1189,1112,1070,1117,1041,1281,1379,1172,990,735,544,401,242,0,1
2017,2017-09-25,Westbound,All Vehicles,333,173,125,113,141,339,709,954,1043,1000,1137,1157,1224,1349,1533,1721,1775,1814,1646,1191,970,854,729,508,0,1
2017,2017-09-26,Westbound,All Vehicles,357,189,129,120,117,335,736,1016,1068,1007,1075,1169,1307,1361,1613,1849,1812,1778,1704,1265,1039,950,664,582,0,1
2017,2017-09-26,Eastbound,All Vehicles,144,98,108,155,308,1011,2001,1790,1655,1606,1427,1317,1172,1151,1101,1171,1253,1469,1335,981,742,624,473,308,0,1
2017,2017-09-27,Eastbound,All Vehicles,178,113,116,160,318,1134,1982,1690,1732,1595,1356,1268,1242,1181,1139,1232,1367,1418,1300,1014,759,633,515,277,0,1
2017,2017-09-27,Westbound,All Vehicles,425,227,169,127,134,301,723,1004,1045,1036,1211,1241,1250,1412,1602,1792,1768,1830,1732,1312,1022,965,839,606,0,1
2017,2017-09-28,Eastbound,All Vehicles,161,103,124,152,314,1056,1998,1741,1756,1590,1369,1259,1190,1137,1164,1239,1339,1505,1385,1010,799,608,529,315,0,1
2017,2017-09-28,Westbound,All Vehicles,400,279,196,148,140,338,727,999,1055,1073,1122,1224,1302,1366,1535,1897,1799,1803,1676,1309,1034,1065,910,630,0,1
