year,date,cardinal_direction_seq,classification_seq,hour_00,hour_01,hour_02,hour_03,hour_04,hour_05,hour_06,hour_07,hour_08,hour_09,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,public_holiday,school_holiday
2017,2017-01-01,Northbound,All Vehicles,533,579,343,183,105,101,141,167,192,325,433,596,720,777,724,832,807,860,724,655,595,546,403,306,1,1
2017,2017-01-03,Northbound,All Vehicles,152,74,51,51,64,239,475,598,691,665,683,760,808,771,839,931,911,1095,862,668,502,510,393,252,0,1
2017,2017-01-04,Northbound,All Vehicles,169,60,58,40,85,288,546,618,751,759,779,801,774,815,898,989,1031,1121,939,703,583,532,434,242,0,1
2017,2017-01-05,Northbound,All Vehicles,115,90,63,44,92,260,588,671,765,685,742,766,816,797,885,940,985,1071,907,664,614,499,461,261,0,1
2017,2017-01-05,Southbound,All Vehicles,139,83,65,57,85,272,697,837,828,866,892,924,972,963,1022,1094,1133,1246,1011,776,633,592,434,325,0,1
2017,2017-01-06,Southbound,All Vehicles,153,70,50,65,99,266,659,857,853,850,820,908,1010,1023,1139,1151,1120,1181,1090,858,706,679,676,468,0,1
2017,2017-01-06,Northbound,All Vehicles,162,66,59,58,86,282,521,650,708,689,679,801,965,971,897,976,1005,1177,1018,769,619,556,627,410,0,1
2017,2017-01-07,Southbound,All Vehicles,259,149,115,81,100,192,447,493,715,869,922,1112,1165,887,1088,1013,1063,1050,1018,803,617,688,593,521,0,1
2017,2017-01-07,Northbound,All Vehicles,284,141,91,69,60,171,331,380,577,769,907,879,934,790,948,916,1006,1021,1040,791,717,662,649,520,0,1
2017,2017-01-08,Northbound,All Vehicles,307,179,107,63,46,107,181,260,404,733,747,817,927,799,840,962,1079,1174,1113,932,788,644,562,331,0,1
2017,2017-01-08,Southbound,All Vehicles,321,190,116,82,93,141,225,321,490,793,1029,1096,1174,1083,1007,948,936,869,930,791,687,679,546,304,0,1
2017,2017-01-09,Southbound,All Vehicles,143,83,58,50,107,341,956,1141,1203,985,914,901,956,980,1084,1297,1288,1431,1124,790,617,552,425,216,0,1
2017,2017-01-09,Northbound,All Vehicles,170,80,51,48,80,322,596,719,792,789,768,784,861,782,868,1074,1166,1233,1118,721,627,481,402,235,0,1
2017,2017-01-10,Southbound,All Vehicles,126,86,53,53,94,343,955,1133,1256,1000,939,911,876,923,1059,979,1222,1435,907,611,536,555,466,260,0,1
2017,2017-01-10,Northbound,All Vehicles,126,56,35,51,84,305,542,753,827,727,772,811,773,780,923,1011,1171,1236,1054,737,608,602,457,315,0,1
2017,2017-01-11,Southbound,All Vehicles,171,87,50,57,100,331,824,1040,1194,864,761,716,739,784,830,871,833,933,809,617,512,509,404,264,0,1
2017,2017-01-11,Northbound,All Vehicles,172,69,47,36,109,328,612,681,873,745,723,757,773,790,918,1060,1163,1132,1189,783,685,624,518,281,0,1
2017,2017-01-12,Southbound,All Vehicles,151,78,62,59,105,282,687,797,780,762,684,761,732,724,817,869,883,992,869,626,540,539,424,266,0,1
2017,2017-01-12,Northbound,All Vehicles,160,80,53,40,99,324,613,695,909,744,763,827,872,868,911,1088,1087,1224,1153,794,603,615,500,310,0,1
2017,2017-01-13,Northbound,All Vehicles,60,68,72,47,102,329,589,735,853,768,807,775,809,774,874,1120,1246,1197,1178,969,711,672,578,457,0,1
2017,2017-01-13,Southbound,All Vehicles,49,99,77,44,106,286,745,992,1066,1027,963,768,799,843,882,913,848,981,904,706,617,575,493,381,0,1
2017,2017-01-14,Northbound,All Vehicles,291,168,95,65,70,215,395,457,679,900,933,904,989,972,993,1038,914,948,948,905,719,611,669,616,0,1
2017,2017-01-14,Southbound,All Vehicles,256,145,94,105,97,208,404,526,799,866,1172,1064,924,882,948,846,829,807,771,695,676,680,667,615,0,1
